[ 1 2 3 ] 
[ 1 2 4 ] 
[ 1 2 13 ] 
[ 1 2 14 ] 
[ 1 3 4 ] 
[ 1 4 14 ] 
[ 1 5 6 ] 
[ 1 5 7 ] 
[ 1 6 7 ] 
[ 1 8 9 ] 
[ 1 8 10 ] 
[ 1 9 10 ] 
[ 1 11 12 ] 
[ 1 11 13 ] 
[ 1 12 13 ] 
[ 1 13 14 ] 
[ 2 3 4 ] 
[ 2 4 14 ] 
[ 2 5 8 ] 
[ 2 5 11 ] 
[ 2 6 9 ] 
[ 2 6 12 ] 
[ 2 7 10 ] 
[ 2 7 13 ] 
[ 2 8 11 ] 
[ 2 9 12 ] 
[ 2 10 13 ] 
[ 2 13 14 ] 
[ 3 5 9 ] 
[ 3 5 13 ] 
[ 3 6 8 ] 
[ 3 6 10 ] 
[ 3 6 11 ] 
[ 3 6 14 ] 
[ 3 7 8 ] 
[ 3 7 12 ] 
[ 3 8 12 ] 
[ 3 8 14 ] 
[ 3 9 13 ] 
[ 3 10 11 ] 
[ 4 5 10 ] 
[ 4 5 12 ] 
[ 4 6 8 ] 
[ 4 6 13 ] 
[ 4 7 9 ] 
[ 4 7 11 ] 
[ 4 8 13 ] 
[ 4 9 11 ] 
[ 4 10 12 ] 
[ 5 6 7 ] 
[ 5 7 9 ] 
[ 5 7 14 ] 
[ 5 8 11 ] 
[ 5 9 13 ] 
[ 5 9 14 ] 
[ 5 10 12 ] 
[ 6 8 13 ] 
[ 6 8 14 ] 
[ 6 9 12 ] 
[ 6 10 11 ] 
[ 7 8 12 ] 
[ 7 9 11 ] 
[ 7 9 14 ] 
[ 7 10 13 ] 
[ 8 9 10 ] 
[ 10 11 12 ] 
[ 10 11 14 ] 
[ 10 12 14 ] 
[ 11 12 13 ] 
[ 11 12 14 ] 
